Name	Level	Hitpoints	Damage	Damage per second
Cannon	1	350	60	75
Cannon	2	385	66	82
Cannon	3	423	72	90
Cannon	4	465	79	98
Cannon	5	511	85	106
Cannon	6	560	96	120
Cannon	7	616	105	131
Cannon	8	675	115	143
Cannon	9	742	127	158
Cannon	10	815	139	173
Cannon	11	896	153	191
Cannon	12	983	168	210
Cannon	13	1,081	185	231
Tesla	1	450	64	80
Tesla	2	495	70	87
Tesla	3	544	77	96
Tesla	4	598	85	106
Tesla	5	657	93	116
Tesla	6	720	102	127
Tesla	7	792	112	140
Tesla	8	868	123	153
Tesla	9	954	135	168
Tesla	10	1,048	149	186
Tesla	11	1,152	163	203
Tesla	12	1,264	179	223
Tesla	13	1,390	197	246
Goblin Hut	1	700	3	
Goblin Hut	2	770	4	
Goblin Hut	3	847	5	
Goblin Hut	4	931	6	
Goblin Hut	5	1,022	7	
Goblin Hut	6	1,120	8	
Goblin Hut	7	1,232	9	
Goblin Hut	8	1,351	10	
Goblin Hut	9	1,484	11	
Goblin Hut	10	1,631	12	
Goblin Hut	11	1,792	13	
Tombstone	1	240	3	
Tombstone	2	264	4	
Tombstone	3	290	5	
Tombstone	4	319	6	
Tombstone	5	350	7	
Tombstone	6	384	8	
Tombstone	7	422	9	
Tombstone	8	462	10	
Tombstone	9	508	11	
Tombstone	10	558	12	
Tombstone	11	614	13	
Bomb Tower	1	950	100	62
Bomb Tower	2	1,045	110	68
Bomb Tower	3	1,149	121	75
Bomb Tower	4	1,263	133	83
Bomb Tower	5	1,387	146	91
Bomb Tower	6	1,520	160	100
Bomb Tower	7	1,673	176	110
Bomb Tower	8	1,835	193	120
Bomb Tower	9	2,016	212	132
Bomb Tower	10	2,217	233	145
Bomb Tower	11	2,436	256	160
Barbarian Hut	1	1,100	3	
Barbarian Hut	2	1,210	4	
Barbarian Hut	3	1,331	5	
Barbarian Hut	4	1,463	6	
Barbarian Hut	5	1,606	7	
Barbarian Hut	6	1,760	8	
Barbarian Hut	7	1,936	9	
Barbarian Hut	8	2,123	10	
Barbarian Hut	9	2,332	11	
Barbarian Hut	10	2,563	12	
Barbarian Hut	11	2,816	13	
Inferno Tower	1	800	20-400	50-1,000
Inferno Tower	2	880	22-440	55-1,100
Inferno Tower	3	968	24-484	60-1,210
Inferno Tower	4	1,064	26-532	65-1,330
Inferno Tower	5	1,168	29-584	72-1,460
Inferno Tower	6	1,280	32-640	80-1,600
Inferno Tower	7	1,408	35-704	87-1,760
Inferno Tower	8	1,544	38-772	95-1,930
Inferno Tower	9	1,696	42-848	105-2,120
Inferno Tower	10	1,864	46-932	115-2,330
Inferno Tower	11	2,048	51-1,024	127-2,560
Furnace	1	600	3	
Furnace	2	660	4	
Furnace	3	726	5	
Furnace	4	798	6	
Furnace	5	876	7	
Furnace	6	960	8	
Furnace	7	1,056	9	
Furnace	8	1,158	10	
Furnace	9	1,276	11	
Furnace	10	1,398	12	
Furnace	11	1,536	13	
Elixir Collector	1	580		
Elixir Collector	2	638		
Elixir Collector	3	701		
Elixir Collector	4	771		
Elixir Collector	5	846		
Elixir Collector	6	928		
Elixir Collector	7	1,020		
Elixir Collector	8	1,119		
Elixir Collector	9	1,229		
Elixir Collector	10	1,351		
Elixir Collector	11	1,484		
X-Bow	1	1,000	20	66
X-Bow	2	1,100	22	73
X-Bow	3	1,210	24	80
X-Bow	4	1,330	26	86
X-Bow	5	1,460	29	96
X-Bow	6	1,600	32	106
X-Bow	7	1,760	35	116
X-Bow	8	1,930	38	126
