Name	Level	Area Damage	Crown Tower Damage
Arrows	1	115	46
Arrows	2	126	51
Arrows	3	139	56
Arrows	4	152	61
Arrows	5	168	67
Arrows	6	184	74
Arrows	7	202	81
Arrows	8	221	89
Arrows	9	243	98
Arrows	10	268	107
Arrows	11	295	118
Arrows	12	323	130
Arrows	13	355	142
Zap	1	80	32
Zap	2	88	36
Zap	3	96	39
Zap	4	106	43
Zap	5	116	47
Zap	6	128	52
Zap	7	140	56
Zap	8	154	62
Zap	9	169	68
Zap	10	186	75
Zap	11	204	82
Zap	12	224	90
Zap	13	247	99
Fireball	1	325	130
Fireball	2	357	143
Fireball	3	396	158
Fireball	4	432	173
Fireball	5	476	190
Fireball	6	520	208
Fireball	7	572	229
Fireball	8	627	251
Fireball	9	689	276
Fireball	10	757	303
Fireball	11	832	333
Rocket	1	700	280
Rocket	2	770	308
Rocket	3	847	339
Rocket	4	931	373
Rocket	5	1,022	409
Rocket	6	1,120	448
Rocket	7	1,232	493
Rocket	8	1,351	541
Rocket	9	1,484	594
Rocket	10	1,631	653
Rocket	11	1,792	717
Lightning	1	650	260
Lightning	2	715	286
Lightning	3	786	315
Lightning	4	864	346
Lightning	5	949	380
Lightning	6	1,040	416
Lightning	7	1,144	458
Lightning	8	1,254	502
Poison	1	46	19
Poison	2	50	20
Poison	3	55	22
Poison	4	61	25
Poison	5	67	27
Poison	6	73	30
Poison	7	80	32
Poison	8	88	36
Tornado	1	44	44
Tornado	2	48	48
Tornado	3	53	53
Tornado	4	58	58
Tornado	5	64	64
Tornado	6	70	70
Tornado	7	77	77
Tornado	8	84	84
