Name	Cost	Hit Speed	Speed	Deploy Time	Range	Target	Count	Transport	Type	Rarity	Duration
Knight	3	1.1	Medium	1	0	Ground	x1	Ground	Troop	Common	
Archers	3	1.2	Medium	1	5	Air & Ground	x2	Ground	Troop	Common	
Bomber	3	1.9	Medium	1	4.5	Ground	x1	Ground	Troop	Common	
Spear Goblins	2	1.3	Very Fast	1	5	Air & Ground	x3	Ground	Troop	Common	
Goblins	2	1.1	Very Fast	1	0	Ground	x3	Ground	Troop	Common	
Minion Horde	5	1	Fast	1	2	Air & Ground	x6	Air	Troop	Common	
Skeletons	1	1	Fast	1	0	Ground	x3	Ground	Troop	Common	
Minions	3	1	Fast	1	2	Air & Ground	x3	Air	Troop	Common	
Barbarians	5	1.5	Medium	1	0	Ground	x4	Ground	Troop	Common	
Fire Spirits	2	0	Very Fast	2		Air & Ground	x3	Ground	Troop	Common	
Royal Giant	6	1.7	Slow	1	6.5	Buildings	x1	Ground	Troop	Common	
Elite Barbarians	6	1.5	Very Fast	1	0	Ground	x2	Ground	Troop	Common	
Ice Spirit	1	0	Very Fast	1	2.5	Air & Ground	1.5	Ground	Troop	Common	
Giant	5	1.5	Slow	1	0	Buildings	x1	Ground	Troop	Rare	
Musketeer	4	1.1	Medium	1	6	Air & Ground	x1	Ground	Troop	Rare	
Mini P.E.K.K.A.	4	1.8	Fast	1	0	Ground	x1	Ground	Troop	Rare	
Valkyrie	4	1.5	Medium	1	0	Ground	x1	Ground	Troop	Rare	
Hog Rider	4	1.5	Very Fast	1	0	Buildings	x1	Ground	Troop	Rare	
Wizard	5	1.6	Medium	1	5	Air & Ground	x1	Ground	Troop	Rare	
Mega Minion	3	1.4	Medium	1	2	Air & Ground	x1	Air	Troop	Rare	
Three Musketeers	9	1.1	Medium	1	6	Air & Ground	x3	Ground	Troop	Rare	
Ice Golem	2	2.5	Slow	1	0	Buildings	x1	Ground	Troop	Rare	
Baby Dragon	4	1.6	Fast	1	3	Air & Ground	x1	Air	Troop	Epic	
Prince	5	1.5	Medium	1	0	Ground	x1	Ground	Troop	Epic	
Witch	5	0.7	Medium	1	5	Air & Ground	x1	Ground	Troop	Epic	
Skeleton Army	3	1	Fast	1	0	Ground	x16	Ground	Troop	Epic	
Giant Skeleton	6	1.5	Medium	1	0	Ground	x1	Ground	Troop	Epic	
Balloon	5	3	Medium	1	0	Buildings	x1	Air	Troop	Epic	
P.E.K.K.A.	7	1.8	Slow	3	0	Ground	x1	Ground	Troop	Epic	
Golem	8	2.5	Slow	3	0	Buildings	x1	Ground	Troop	Epic	
Golemite		2.5	Slow		0	Buildings	x2	Ground			
Dark Prince	4	1.5	Medium	1	0	Ground	x1	Ground	Troop	Epic	
Guards	3	1.2	Fast	1	0	Ground	x3	Ground	Troop	Epic	
Bowler	5	2.5	Slow	1	5	Ground	x1	Ground	Troop	Epic	
