Name	Level	Hitpoints	Damage	Damage Per Second	Other Damage
Knight	1	660	75	68	0
Knight	2	726	82	74	0
Knight	3	798	90	81	0
Knight	4	877	99	90	0
Knight	5	963	109	99	0
Knight	6	1056	120	109	0
Knight	7	1161	132	120	0
Knight	8	1273	144	130	0
Knight	9	1399	159	144	0
Knight	10	1537	174	158	0
Knight	11	1689	192	174	0
Knight	12	1854	210	190	0
Knight	13	2039	231	210	0
Archers	1	125	41	34	0
Archers	2	137	45	37	0
Archers	3	151	49	40	0
Archers	4	166	54	45	0
Archers	5	182	59	49	0
Archers	6	200	65	54	0
Archers	7	220	72	60	0
Archers	8	241	79	65	0
Archers	9	265	86	71	0
Archers	10	291	95	79	0
Archers	11	320	104	86	0
Archers	12	351	114	95	0
Archers	13	386	125	105	0
Bomber	1	147	123	64	0
Bomber	2	161	135	71	0
Bomber	3	177	148	77	0
Bomber	4	195	163	85	0
Bomber	5	214	179	94	0
Bomber	6	235	196	103	0
Bomber	7	258	216	113	0
Bomber	8	283	237	124	0
Bomber	9	311	260	136	0
Bomber	10	342	286	150	0
Bomber	11	376	314	165	0
Bomber	12	413	345	181	0
Bomber	13	454	380	200	0
Spear Goblins	1	52	24	18	0
Spear Goblins	2	57	26	20	0
Spear Goblins	3	62	29	22	0
Spear Goblins	4	69	31	23	0
Spear Goblins	5	75	35	26	0
Spear Goblins	6	83	38	29	0
Spear Goblins	7	91	42	32	0
Spear Goblins	8	100	46	35	0
Spear Goblins	9	110	50	38	0
Spear Goblins	10	121	55	42	0
Spear Goblins	11	133	61	46	0
Spear Goblins	12	146	67	51	0
Spear Goblins	13	160	74	56	0
Goblins	1	80	50	45	0
Goblins	2	88	55	50	0
Goblins	3	96	60	54	0
Goblins	4	106	66	60	0
Goblins	5	116	73	66	0
Goblins	6	128	80	72	0
Goblins	7	140	88	80	0
Goblins	8	154	96	87	0
Goblins	9	169	106	96	0
Goblins	10	186	116	105	0
Goblins	11	204	128	116	0
Goblins	12	224	140	127	0
Goblins	13	247	154	140	0
Minion Horde	1	90	40	40	0
Minion Horde	2	99	44	44	0
Minion Horde	3	108	48	48	0
Minion Horde	4	119	53	53	0
Minion Horde	5	131	58	58	0
Minion Horde	6	144	64	64	0
Minion Horde	7	158	70	70	0
Minion Horde	8	173	77	77	0
Minion Horde	9	190	84	84	0
Minion Horde	10	209	93	93	0
Minion Horde	11	230	102	102	0
Minion Horde	12	252	112	112	0
Minion Horde	13	278	123	123	0
Skeletons	1	32	32	32	0
Skeletons	2	35	35	35	0
Skeletons	3	38	38	38	0
